first_name,group_name,classification,frequency_female,frequency_male,frequency_total,frequency_group,ratio,alternative_names
"AABRAO","ABRAAO","M","",26,26,32296,1,"ABRAAO|ABRAHAO|ABRAO|ABRHAO|ABRRAO|ADRAAO|ADRAO|HABRAAO|HABRAO"
"AADRIANA","ADRIANA","F",94,"",94,568459,1,"ABRIANA|ADRAINA|ADRIANA|ADRIANNA|ADRRIANA|ADRYANA|ADRYANNA"
"AADRIANO","ADRIANO","M","",53,53,338554,1,"ABRIANO|ADRIANNO|ADRIANO|ADRYANO"
"AAILTON","AILTON","M","",23,23,246915,1,"AELTOM|AELTON|AHILTON|AILTHON|AILTOM|AILTON|ALTOM|ALTON|AYLTOM|AYLTON|EILTON|ELTHON|ELTOM|ELTON|HAELTON|HAILTOM|HAILTON|HAYLTON|HEILTON|HELTHON|HELTOM|HELTON|HILTOM|HILTON|HLTON|HUELTON|HUILTON|HYLTON|IELTON|ILTOM|ILTON|LTON|OELTON|OILTON|UELTOM|UELTON|UILTOM|UILTON|ULTON|YLTON"
"AALAN","ALAN","M","",27,27,221601,1,"AHLAM|AILAM|AILAN|ALAAN|ALAM|ALAN|ALANN|AYLAN|EILAN|ELAM|ELAN|EULAN|HAILAN|HALAN|HAYLAN|HELAN|HILAN|HUILHAN|IALAN|ILAM|ILAN|ILHAM|ILHAN|IOLAN|LAAN|LAM|LAN|OLAN|UALAN|UILAM|UILAN|UILHAM|UILHAN|YLAN"
"AALESSANDRA","ALESSANDRA","F",44,"",44,341637,1,"ALECHANDRA|ALESSANDRA|ALEXANDRA|ALEXSSANDRA|ELESSANDRA|ELEXANDRA|ELEXSSANDRA|HALESSANDRA|HELESSANDRA|LESSANDRA|LEXANDRA"
"AALESSANDRO","ALESSANDRO","M","",25,25,238113,1,"ALECHANDRO|ALESSANDRO|ALEXANDRO|ALEXSSANDRO|ELESSANDRO|ELEXANDRO|ELEXSSANDRO|LESSANDRO|LEXANDRO|OLESSANDRO"
"AALEX","ALEX","M","",36,36,312401,1,"ALESS|ALEX|ELEX|HALEX|LEX|UALEX"
"AALEXANDRE","ALEXANDRE","M","",70,70,448972,1,"ALECHANDRE|ALESSANDRE|ALEXANDRE|ALEXANDRER|ALEXANNDRE|ALEXSSANDRE|ELESSANDRE|ELEXANDRE|LEXANDRE"
"AALINE","ALINE","F",66,"",66,530550,1,"AILINE|ALEINE|ALIINE|ALINE|ALINER|ALINHE|ALINNE|ALYNE|ALYNNE|AYLINE|EALINE|ELEINE|ELINE|ELINER|ELINNE|ELYNE|EULINE|HALINE|HALYNE|HELEINE|HELINE|HELYNE|IALINE|ILEINE|ILINE|LEINE|LEINER|LEYNE|LINE|LINER|LUEINE|LUINE|LUYNE|LYNE|LYNNE|OLINE|UELINE"
"AALIYAH","LIA","F",28,"",28,68767,1,"AELIA|AILIA|ALAI|ALAIR|ALAUIR|ALAY|ALAYR|ALIA|ALYA|ALYAH|AULAIR|AULIA|ELAI|ELAIR|ELHIA|ELIA|ELIAA|ELIAH|ELIAR|ELYA|EUALIA|EULAIR|EULIA|HALIA|HELAIR|HELIA|HILIA|ILAI|ILAIR|ILIA|IULIA|LAHIR|LAI|LAIR|LAUIR|LAY|LAYR|LIA|LIAH|LIIA|LUIA|LYA|OELIA|OLAI|OLAIR|OLIA|UELIA|UILHIA|UILIA|ULIA|YULIA"
"AAMANDA","AMANDA","F",89,"",89,467319,1,"AMANDA|AMANDAH|AMANDHA|AMANNDA|AMMANDA|HAMANDA"
"AAMARIA","AMARIA","F",52,"",52,2951,1,"AMARAI|AMARAIR|AMARIA"
"AAN","ANN","M","",24,24,268,1,"AHN|AN|ANN|HAN"
"AANA","ANA","F",531,"",531,3158780,1,"ANA|ANAA|ANAH|ANAR|ANNA|ANNAH|HANA|HANAH|HANNA|HANNAH|HANNHA"
"AANDERSON","ANDERSON","M","",58,58,489063,1,"ANDERRSON|ANDERSOM|ANDERSON|ANDERSONN|ANDERZON|ANDHERSON|ANNDERSON|HANDERSOM|HANDERSON"
"AANDRE","ANDRE","M","",48,48,584685,1,"ANDRE|ANDREH|ANDRER|ANNDRE|HANDRE"
"AANDREA","ANDREA","F",37,"",37,176161,1,"ANDREA|HANDREA"
"AANDREIA","ANDREIA","F",34,"",34,292359,1,"ANDREIA|ANDREYA"
"AANDRESSA","ANDRESSA","F",34,"",34,185864,1,"ANDRESSA|HANDRESSA"
"AANGELA","ANGELA","F",44,"",44,281796,1,"ANGALA|ANGELA|ANGILA|ANGLA|ANJALA|ANJELA|ANJILA"
"AANGELICA","ANGELICA","F",25,"",25,125221,1,"ANGALICA|ANGELICA|ANGELIKA|ANGLICA|ANJELICA"
"AANTONIA","ANTONIA","F",81,"",81,593046,1,"ANTHONIA|ANTONHIA|ANTONIA|ANTONIHA|ANTONIIA"
"AANTONIO","ANTONIO","M","",279,279,2577817,1,"ANNTONIO|ANTHONIO|ANTONHIO|ANTONIHO|ANTONIIO|ANTONIO|ANTONIOR|ANTONNIO"
"AAPARECIDA","APARECIDA","F",60,"",60,304084,1,"APARECIDA"
"AARAO","ARAO","M","",281,281,3526,1,"ARAAO|ARAO"
"AARON","ARON","M","",676,676,3442,1,"AHARON|AROM|ARON|ARYON|HARON"
"ABA","ADA","F",82,"",82,5583,1,"ADA|ADAH|ADAR|ADHA|HADA"
"ABAAO","ADAO","M","",113,113,122422,1,"ABAO|ADAO"
"ABACUQUE","HABACUQUE","M","",56,56,151,1,"HABACUQUE"
"ABADE","ABADE","M","",57,57,57,1,""
"ABADI","ABADI","M","",73,73,116,1,"ABADIR"
"ABADIA","ABADIA","F",7438,127,7565,7565,0.98,""
"ABADIAS","ABADIAS","M",45,156,201,201,0.78,""
"ABADIL","ABADIL","M","",101,101,133,1,"ADABEL"
"ABADIO","ABADIO","M","",1550,1550,1550,1,""
"ABADIR","ABADI","M","",43,43,116,1,"ABADI"
"ABAETE","ADETE","M","",39,39,233,1,"ABETE|ADETE"
"ABALBERTO","ADALBERTO","M","",30,30,48655,1,"ADALBERTO|ADALDERTO|ADELBERTO|ADILBERTO|ADLBERTO|ADOLBERTO"
"ABAO","ADAO","M","",35,35,122422,1,"ABAAO|ADAO"
"ABAS","ADAS","M","",22,22,98,1,"ADAS"
"ABD","ABD","M","",23,23,23,1,""
"ABDA","ABDA","F",343,"",343,485,1,"ADDA"
"ABDAL","ABDIEL","M","",32,32,1564,1,"ABDAEL|ABDEEL|ABDEL|ABDIEL|ABDUL|ADBEEL|ADBEL|ADBIEL"
"ABDALA","ABDALA","M","",346,346,346,1,""
"ABDALLA","ABDALLA","M","",87,87,149,1,"ABDALLAH"
"ABDALLAH","ABDALLA","M","",62,62,149,1,"ABDALLA"
"ABDAN","ADDAN","M","",26,26,112,1,"ADDAM|ADDAN"
"ABDAO","ABDAO","M","",67,67,67,1,""
"ABDE","ABDER","M","",21,21,45,1,"ABDER|ADBE"
"ABDEEL","ABDIEL","M","",34,34,1564,1,"ABDAEL|ABDAL|ABDEL|ABDIEL|ABDUL|ADBEEL|ADBEL|ADBIEL"
"ABDEL","ABDIEL","M","",207,207,1564,1,"ABDAEL|ABDAL|ABDEEL|ABDIEL|ABDUL|ADBEEL|ADBEL|ADBIEL"
"ABDENAGO","ABDENAGO","M","",70,70,70,1,""
"ABDENEGO","ABDENEGO","M","",189,189,189,1,""
"ABDENICO","ABDENICO","M","",22,22,22,1,""
"ABDENIGO","ABDENIGO","M","",28,28,28,1,""
"ABDENIO","ABDENIO","M","",50,50,50,1,""
"ABDENOR","ABDENOR","M","",43,43,43,1,""
"ABDER","ABDER","M","",24,24,45,1,"ABDE|ADBE"
"ABDERMAN","ABDERMAN","M","",71,71,71,1,""
"ABDI","ABDI","M","",39,39,111,1,"ABDIR|ADBI|ADDY"
"ABDIA","ABDIA","M","",100,100,100,1,""
"ABDIAS","ABDIAS","M",28,5153,5181,5181,0.99,""
"ABDIEL","ABDIEL","M","",999,999,1564,1,"ABDAEL|ABDAL|ABDEEL|ABDEL|ABDUL|ADBEEL|ADBEL|ADBIEL"
"ABDIR","ABDI","M","",23,23,111,1,"ABDI|ADBI|ADDY"
"ABDISIO","ABDISIO","M","",24,24,24,1,""
"ABDNEGO","ABDNEGO","M","",54,54,54,1,""
"ABDO","ABDO","M","",514,514,514,1,""
"ABDOM","ABDON","M","",203,203,1716,1,"ABDON"
"ABDON","ABDON","M","",1513,1513,1716,1,"ABDOM"
"ABDORAL","ABDORAL","M","",531,531,531,1,""
"ABDU","ABDU","M","",90,90,90,1,""
"ABDUL","ABDIEL","M","",229,229,1564,1,"ABDAEL|ABDAL|ABDEEL|ABDEL|ABDIEL|ADBEEL|ADBEL|ADBIEL"
"ABE","ADER","M","",26,26,746,1,"ABER|ADE|ADER|HADER"
"ABECI","ADECIR","M","",25,25,1246,1,"ADECI|ADECIR|ADECY"
"ABECIO","ADECIO","M","",33,33,1236,1,"ADECIO"
"ABEDENEGO","ABEDENEGO","M","",81,81,81,1,""
"ABEDIAS","ABEDIAS","M","",749,749,749,1,"ADEDIAS"
"ABEDIEL","ADEBAL","M","",103,103,269,1,"ADEBAL"
"ABEDNEGO","ABEDNEGO","M","",51,51,51,1,""
"ABEDON","ABEDON","M","",37,37,37,1,""
"ABEGAIL","ABEGAIL","F",239,"",239,266,1,"ADEGIL"
"ABEGAIR","ADEJAIR","F",114,"",114,838,1,"ADEGAIR|ADEJAIR"
"ABEILARD","ABELARD","M","",21,21,56,1,"ABELARD"
"ABEILDO","ADEILDO","M","",58,58,13305,1,"ADAILDO|ADALDO|ADEALDO|ADEILDO|ADELDO|ADILDO|ADOALDO|ADUALDO"
"ABEILSON","ADILSON","M","",29,29,226962,1,"ABELSON|ADAELSOM|ADAELSON|ADAILSOM|ADAILSON|ADAILZON|ADALSON|ADEILSOM|ADEILSON|ADELSOM|ADELSON|ADELZON|ADEYLSON|ADIELSOM|ADIELSON|ADIILSON|ADILSOM|ADILSON|ADLSOM|ADLSON|ADOILSOM|ADOILSON|ADOLSON|ADUILSON|ADYLSON|HADILSON"
"ABEILTON","ADAILTON","M","",56,56,72318,1,"ADAELTON|ADAILTOM|ADAILTON|ADALTOM|ADALTON|ADAYLTON|ADEILTOM|ADEILTON|ADELTOM|ADELTON|ADIELTON|ADILTOM|ADILTON|ADOILTON|HADAILTON"
"ABEL","ABEL","M",194,26697,26891,42182,0.99,"ABIAIL|ABIEL|ABIL|ADAEL|ADAHIL|ADAHYL|ADAIL|ADAL|ADAYL|ADEIL|ADEL|ADIEL|ADIL|ADOEL|ADUIL|ADYEL|ADYL"
"ABELA","ADELAR","F",51,"",51,20461,1,"ABELAR|ABILA|ABILHA|ABLA|ADAILA|ADALA|ADALHA|ADEILA|ADELA|ADELAR|ADELHA|ADILA|ADILAR|ADILHA|ADLA|ADLAR|ADOLAR|ADYLA|HADILA|HADLA"
"ABELAR","ADELAR","M","",383,383,20461,1,"ABELA|ABILA|ABILHA|ABLA|ADAILA|ADALA|ADALHA|ADEILA|ADELA|ADELAR|ADELHA|ADILA|ADILAR|ADILHA|ADLA|ADLAR|ADOLAR|ADYLA|HADILA|HADLA"
"ABELARD","ABELARD","M","",35,35,56,1,"ABEILARD"
"ABELARDA","ABELARDA","F",24,"",24,24,1,""
"ABELARDO","ABELARDO","M","",5712,5712,5898,1,"ADALARDO|ADELARDO"
"ABELE","ADLER","M",32,33,65,2695,0.51,"ABILE|ADAILE|ADELE|ADELER|ADIELE|ADILE|ADILER|ADLE|ADLER|HADLER"
"ABELI","ADELIR","F",40,"",40,8037,1,"ABILI|ADAELI|ADALI|ADALIR|ADALY|ADELEI|ADELI|ADELIR|ADELY|ADIELI|ADIELY|ADILEI|ADILEY|ADILI|ADLEI|ADLEY|ADLI|ADLY|ADOLI|ADOLIR|HADLEY"
"ABELIA","ADELIA","F",121,"",121,42957,1,"ABELAIR|ABILIA|ADALHIA|ADALIA|ADELAI|ADELAIR|ADELHIA|ADELIA|ADILAI|ADILAIR|ADILIA|ADLAI|ADLAIR|ADLIA"
"ABELICE","ADELICE","F",66,"",66,5069,1,"ADALICE|ADELICE"
"ABELICIA","ADELICIA","F",21,"",21,1643,1,"ADALICIA|ADELICIA"
"ABELICIO","ADELICIO","M","",45,45,2251,1,"ADALICIO|ADELICIO"
"ABELINA","ADELINA","F",1045,"",1045,30343,1,"ADALINA|ADELINA|ADILINA|ADLINA|ADOLINA"
"ABELINDA","ADELINDA","F",25,"",25,441,1,"ADELINDA"
"ABELINO","ADELINO","M","",1193,1193,26586,1,"ABILINO|ADALINO|ADELINO|ADILINO|ADLINO|ADOLINO"
"ABELIO","ABILIO","M","",104,104,25665,1,"ABILHIO|ABILIO|ABLIO|ADAELIO|ADAILIO|ADALIO|ADELIO|ADILHIO|ADILIO|ADLIO|ADUILIO"
"ABELIRIO","ADELIRIO","M","",40,40,469,1,"ADALIRIO|ADELIRIO"
"ABELITA","ADELITA","F",423,"",423,4342,1,"ADALITA|ADELITA"
"ABELITO","ADELITO","M","",36,36,348,1,"ADELITO"
"ABELMAR","ADELMA","M","",37,37,13240,1,"ABILMAR|ADAELMA|ADAILMA|ADALMA|ADALMAR|ADEILMA|ADELMA|ADELMAR|ADIELMA|ADILMA|ADILMAR"
"ABELO","ADILHO","M","",152,152,2849,1,"ABELOR|ABILHO|ABILO|ABLO|ADAILO|ADALHO|ADALO|ADELHO|ADELO|ADELOR|ADILHO|ADILO|ADILOR|ADUILO"
"ABELOR","ADILHO","M","",22,22,2849,1,"ABELO|ABILHO|ABILO|ABLO|ADAILO|ADALHO|ADALO|ADELHO|ADELO|ADELOR|ADILHO|ADILO|ADILOR|ADUILO"
"ABELSON","ADILSON","M","",83,83,226962,1,"ABEILSON|ADAELSOM|ADAELSON|ADAILSOM|ADAILSON|ADAILZON|ADALSON|ADEILSOM|ADEILSON|ADELSOM|ADELSON|ADELZON|ADEYLSON|ADIELSOM|ADIELSON|ADIILSON|ADILSOM|ADILSON|ADLSOM|ADLSON|ADOILSOM|ADOILSON|ADOLSON|ADUILSON|ADYLSON|HADILSON"
"ABEMAEL","ADEMIL","M","",79,79,676,1,"ADEMAEL|ADEMIL"
"ABEMOR","ADEMOR","M","",23,23,206,1,"ADEMO|ADEMOR"
"ABENAIAS","ABENAIAS","M","",75,75,75,1,""
"ABENAIDE","ADENAIDE","F",22,"",22,282,1,"ADENAIDE"
"ABENAILDE","ADENILDE","F",25,"",25,2346,1,"ABENILDE|ADENAILDE|ADENILDE"
"ABENAILTON","ADENILTON","M","",40,40,9771,1,"ABENILTON|ADENAILTON|ADENILTOM|ADENILTON|ADENLTON"
"ABENAIR","ADENAIR","F",54,30,84,835,0.64,"ADENAI|ADENAIR|ADENIA"
"ABENALDO","ADENILDO","M","",41,41,6362,1,"ABENILDO|ADENAILDO|ADENALDO|ADENILDO|ADENOALDO"
"ABENE","ABENER","M","",65,65,439,1,"ABENER|ADAENE|ADENE|ADENER"
"ABENEIR","ADENIR","M","",27,27,13770,1,"ABENI|ABENIR|ADENEI|ADENEIR|ADENI|ADENIR|ADENY|ADENYR"
"ABENEL","ADENIL","M","",70,70,1732,1,"ABENIL|ADENAEL|ADENAIL|ADENAL|ADENIEL|ADENIL|ADENOEL"
"ABENER","ABENER","M","",247,247,439,1,"ABENE|ADAENE|ADENE|ADENER"
"ABENEVALDO","ADENEVALDO","M","",21,21,74,1,"ADENEVALDO"
"ABENI","ADENIR","M",31,38,69,13770,0.55,"ABENEIR|ABENIR|ADENEI|ADENEIR|ADENI|ADENIR|ADENY|ADENYR"
"ABENIAS","ADENIAS","M","",32,32,349,1,"ADENIAS"
"ABENICE","ADENICE","F",47,"",47,2174,1,"ADENICE"
"ABENICIO","ADENICIO","M","",83,83,460,1,"ADENICIO"
"ABENIL","ADENIL","M","",61,61,1732,1,"ABENEL|ADENAEL|ADENAIL|ADENAL|ADENIEL|ADENIL|ADENOEL"
"ABENILDA","ADENILDA","F",125,"",125,3380,1,"ADENALDA|ADENILDA|ADENOALDA"
"ABENILDE","ADENILDE","F",92,"",92,2346,1,"ABENAILDE|ADENAILDE|ADENILDE"
"ABENILDES","ADENILDES","F",59,"",59,1175,1,"ADENAILDES|ADENILDES"
"ABENILDO","ADENILDO","M","",417,417,6362,1,"ABENALDO|ADENAILDO|ADENALDO|ADENILDO|ADENOALDO"
"ABENILSON","ADENILSON","M","",285,285,36222,1,"ADENAILSON|ADENEILSON|ADENELSON|ADENIELSON|ADENILSOM|ADENILSON|ADENLSON"
"ABENILTON","ADENILTON","M","",151,151,9771,1,"ABENAILTON|ADENAILTON|ADENILTOM|ADENILTON|ADENLTON"
"ABENILZA","ADENILZA","F",34,"",34,4510,1,"ADENILSA|ADENILZA"
"ABENIR","ADENIR","M",39,127,166,13770,0.77,"ABENEIR|ABENI|ADENEI|ADENEIR|ADENI|ADENIR|ADENY|ADENYR"
"ABENITA","ADENITA","F",43,"",43,435,1,"ADENITA"
"ABENITO","ADENITO","M","",20,20,111,1,"ADENITO"
"ABENIZA","ADENIZA","F",20,"",20,443,1,"ADENISA|ADENIZA"
"ABENIZIA","ADENISIA","F",21,"",21,978,1,"ADENISIA|ADENIZIA"
"ABENONE","ABENONE","M","",23,23,23,1,""
"ABENOR","ADENOR","M","",111,111,2454,1,"ADENO|ADENOR"
"ABERALDO","ADERALDO","M","",117,117,4190,1,"ABEROALDO|ADERALDO|ADERILDO|ADEROALDO"
"ABERCIO","ADERCIO","M","",57,57,696,1,"ADAERCIO|ADERCIO"
"ABERI","ADERI","M","",35,35,226,1,"ADERI|ADERIR"
"ABERICO","ADERICO","M","",105,105,569,1,"ADERICO"
"ABERLADO","ABERLADO","M","",694,694,694,1,""
"ABERLAN","ADERLAN","M","",42,42,1232,1,"ADERLAM|ADERLAN"
"ABERLANDIA","ADERLANDIA","F",20,"",20,217,1,"ADERLANDIA"
"ABERLARDO","ABERLARDO","M","",235,235,235,1,""
"ABERLINDO","ADERLINDO","M","",20,20,103,1,"ADERLINDO"
"ABEROALDO","ADERALDO","M","",20,20,4190,1,"ABERALDO|ADERALDO|ADERILDO|ADEROALDO"
"ABERSON","ADERSON","M","",31,31,5782,1,"ADERSOM|ADERSON|HADERSON"
"ABERVAL","ADERVAL","M","",27,27,1924,1,"ADERVAL"
"ABETINO","ADETINO","M","",48,48,202,1,"ADETINO"
"ABEU","ABEU","M","",250,250,297,1,"ADEU"
"ABEVALDO","ADEVALDO","M","",22,22,6386,1,"ADEVALDO"
"ABGAIL","ABGAIL","F",3545,86,3631,3696,0.98,"ADJAEL"
"ABGAIR","ADJAIR","F",200,"",200,1149,1,"ADGAIR|ADJAIR"
"ABGAR","ADJA","M","",30,30,999,1,"ADGAR|ADJA|ADJAR|HADJA"
"ABHNER","ABNER","M","",39,39,14133,1,"ABNE|ABNER|ABNNER|ADNE|ADNER|HABNER"
"ABI","ADIR","M",39,62,101,18895,0.61,"ABEIR|ABIR|ADEI|ADEIR|ADEY|ADI|ADIR|ADUIR|ADY|ADYR|HADI|HADY"
"ABIA","ADAIR","F",893,"",893,35049,1,"ADAHIR|ADAHYR|ADAI|ADAIR|ADAY|ADAYR|ADIA|HABIA"
"ABIAIL","ABEL","F",108,"",108,42182,1,"ABEL|ABIEL|ABIL|ADAEL|ADAHIL|ADAHYL|ADAIL|ADAL|ADAYL|ADEIL|ADEL|ADIEL|ADIL|ADOEL|ADUIL|ADYEL|ADYL"
"ABIANA","ADIANA","F",84,"",84,1146,1,"ADAINA|ADIANA"
"ABIANE","ADIANE","F",67,"",67,807,1,"ADAINE|ADIANE"
"ABIAS","ABIAS","M",98,738,836,1088,0.88,"ADAIS|ADIAS"
"ABIATA","ABIATAR","M","",22,22,98,1,"ABIATAR"
"ABIATAR","ABIATAR","M","",76,76,98,1,"ABIATA"
"ABIB","ADIB","M","",64,64,670,1,"ADIB|HABIB"
"ABIDA","ABIDA","F",106,"",106,212,1,"ADEIDA|ADIBA"
"ABIDAL","ABIDIEL","M","",30,30,509,1,"ABIDEL|ABIDIEL"
"ABIDAN","ABIDAN","M","",22,22,22,1,""
"ABIDAO","ABIDAO","M","",90,90,90,1,""
"ABIDEL","ABIDIEL","M","",40,40,509,1,"ABIDAL|ABIDIEL"
"ABIDENOR","ABIDENOR","M","",24,24,24,1,""
"ABIDERMAN","ABIDERMAN","M","",40,40,40,1,""
"ABIDIAS","ABIDIAS","M","",2334,2334,2334,1,""
"ABIDIEL","ABIDIEL","M","",439,439,509,1,"ABIDAL|ABIDEL"
"ABIDOM","ABIDON","M","",68,68,414,1,"ABIDON"
"ABIDON","ABIDON","M","",346,346,414,1,"ABIDOM"
"ABIDORAL","ABIDORAL","M","",332,332,332,1,""
